Ovis_aries,Homo_sapiens,Canis_lupus,Sus_scrofa,Rattus_norvegicus,Oryctolagus_cuniculus,Felis_catus
ENSG00000168300,28.4714809937,64.3159464622,19.2458214446,100.431113108,33.0082415812,48.9642230639,20.8217072556
ENSG00000092853,0.282631709557,0.356425247756,1.61937791548,3.19412630001,0.405043338456,0.102205537851,0.66112945583
ENSG00000109743,14.9694941756,4.62972866959,16.8388435004,2.502197351,3.05760043324,13.0088537287,20.3642237114
ENSG00000127463,7.53112803769,8.26519990792,9.88087584059,6.87099102647,5.16421816953,15.9010617532,8.09295348538
ENSG00000180347,0.00843240169136,0.100896298418,0.181734769086,0.00726691298629,4.76659173713,0.0082449243848,0.0108730302437
ENSG00000143575,15.0412093663,15.4445639288,31.5408193576,7.19782549132,11.4541026876,59.8200405051,15.6295009162
ENSG00000118855,23.540731332,33.9917710415,15.5223546859,26.8577274848,5.70068375605,11.1292252343,8.22962752283
ENSG00000080802,3.10481608448,8.25255912587,7.7162008966,15.6611771078,9.42803775968,4.25206671081,9.53530258955
ENSG00000185480,0.35273886535,2.05083892131,0.265368678385,0.838335359419,0.33644943923,0.372322411416,0.537316890722
ENSG00000163827,0.187278117548,0.702727211073,2.19469344062,1.47772614659,1.35290994329,6.44786913206,1.20613770673
ENSG00000115041,0.0580753191217,1.92246719581,0.688326027307,0.61134228416,1.17718162033,0.26404523306,1.00603052046
ENSG00000138398,9.56456229238,27.5672582863,17.5118992526,29.0249418658,22.1780775465,13.5470310055,15.3625264858
ENSG00000138399,3.57954191438,10.0927411037,4.61039512074,11.1836567711,3.75408296663,3.29899135202,5.62411296352
ENSG00000125826,8.73991335685,9.38955521071,15.7877876981,8.14560858357,9.33881809065,26.7709768586,9.49251333885
ENSG00000125827,35.1395906175,11.2239602205,14.9621935043,26.0648605658,7.56591736667,8.74446949934,15.0598710695
ENSG00000213551,10.5512370603,3.59049476808,19.9500749028,5.94842676436,5.42761897727,23.2467219331,3.53673157897
ENSG00000205323,78.699636613,21.8381552475,37.5322587248,18.635185888,51.1343314138,57.9324119199,18.5080295979
