Ovis_aries,Homo_sapiens,Canis_lupus,Sus_scrofa,Rattus_norvegicus,Oryctolagus_cuniculus,Felis_catus
ENSG00000056050,8.88557359054,11.2115698776,11.7590837201,25.3748010333,7.29965057103,7.85413784439,5.66655768356
ENSG00000136891,5.08978890455,2.78651515194,7.70662919533,6.71351554133,7.88392904189,5.05589714796,5.88467613907
ENSG00000136897,19.1974742589,5.4568312545,5.57321269978,5.93310463163,6.78960611277,15.2058268657,3.14695506983
ENSG00000146067,1.81679381484,11.3567149929,8.20014184258,3.83843500342,4.36220772395,2.21893753442,5.95857825836
ENSG00000158796,9.82350454106,8.70751258807,8.19929197189,11.4755020101,12.5613326678,10.0157197102,3.05449258673
ENSG00000105186,8.24509669765,6.41596281109,8.21069569382,9.41887827837,6.40681409373,4.50530501798,7.73602740494
ENSG00000128849,3.02646138854,0.816047486537,3.07330743977,3.0317999779,12.6087806292,9.48244398299,1.51192763462
ENSG00000152382,10.4117512923,1.49832357187,10.2982634286,9.96914116565,3.93407528931,6.14414929613,7.66101637794
ENSG00000138675,0.036741264849,0.0259353741116,0.0146540050232,0.048967142397,0.0283026909767,0.0,0.403207567436
ENSG00000133114,9.09943595812,9.60289304006,4.43032714268,10.0847897703,17.2177072418,7.4203935371,4.62948833879
ENSG00000133119,1.22154463796,3.20899191911,2.17039460231,5.25408817602,7.27232511893,4.84930216939,2.52547352866
ENSG00000169026,4.05293254581,2.41885631928,2.12694108968,15.3211773971,0.64721784932,1.41595106235,4.41012025716
ENSG00000172590,152.197792798,21.2899513278,81.045939137,10.0428646342,28.4214340504,44.404961326,14.6832382966
ENSG00000172594,2.08613542716,3.6715863049,16.9326073503,124.273528136,44.9345371171,17.6345584008,10.1951542152
ENSG00000142961,4.428839182,6.81175064166,6.21037932913,5.79478226799,3.64321689174,3.05621012448,9.28730139285
ENSG00000188906,8.56772222517,6.61138445275,15.8634101171,15.5117367312,2.7860739133,5.86274339537,17.6377814476
ENSG00000166503,21.2917413711,14.6793860343,43.2296414322,13.6073003686,12.2033016467,26.3939633274,27.842514339
ENSG00000162688,8.08640440367,10.4733145902,24.8583651236,10.3360378462,4.29417023174,25.3348786366,9.85908123791
ENSG00000182348,0.0,0.0,0.674217045678,0.00487961852882,0.061571234124,0.0475293348337,0.171129939856
ENSG00000188909,0.0,0.0,0.0658922941591,0.0232380132673,0.0218520580989,0.0,0.0572567623267
ENSG00000152520,10.756131265,8.77953563271,15.9802181844,23.7075322825,31.6946185361,10.3528146131,11.7280204091
ENSG00000186501,16.5031064554,6.12187904468,6.68375151502,5.1973838184,2.50780160787,7.68398035095,5.46346497598
ENSG00000157005,1.9042450401,0.0,0.249035827568,0.504028635525,0.131511330563,0.0,0.0117909370377
ENSG00000146243,5.75268387025,1.97599306098,1.90435298754,2.45389757141,2.68072456068,2.13146931493,3.07771019264
