Ovis_aries,Homo_sapiens,Canis_lupus,Sus_scrofa,Rattus_norvegicus,Oryctolagus_cuniculus,Felis_catus
ENSG00000168300,1.15398497915,21.7990187089,2.08019700717,30.6350343524,1.0821154929,6.9855095352,0.95442023025
ENSG00000092853,0.0602655575017,0.292473738423,0.261338766049,0.777735952434,0.0292271112585,0.0147690076648,0.204109864769
ENSG00000109743,10.8847877461,1.4570653456,3.71999067571,0.664021613978,0.89270034206,4.71693883922,1.66513407765
ENSG00000127463,1.11515479641,0.955695741776,1.40784236734,1.11489732149,0.200041923055,6.12130482347,0.12758038218
ENSG00000180347,0.00729105268256,0.103405599202,0.0813837571271,0.0100767592792,0.071558171505,0.0082449243848,0.0108730302437
ENSG00000143575,3.92509838166,5.30849796299,3.60335474986,1.93694470977,1.29568005645,9.0644913902,2.47481132005
ENSG00000118855,13.0106720603,12.306231901,1.67010217531,12.8840992116,0.39968338328,1.5860976196,0.279368281745
ENSG00000080802,0.357177936983,2.76517245905,1.3779865717,7.50113367968,0.41251929322,1.33590797659,0.921240408155
ENSG00000185480,0.0918928402554,0.667532798952,0.228236074859,0.428893211014,0.083473208968,0.045738426841,0.253073567304
ENSG00000163827,0.1531623609,0.252596821121,1.81947481482,0.634081593613,0.10668883348,3.02625695546,0.406962140636
ENSG00000115041,0.082130903941,0.657040425861,0.202522292414,0.333072567636,0.04593669484,0.0010347548035,0.13905542426
ENSG00000138398,2.28201134903,6.14352549762,2.83092130148,8.55965127545,0.878599734,3.60429331678,1.2623450984
ENSG00000138399,0.467842242404,2.73846704397,1.07327237772,2.03239604118,0.80949368809,0.68604487758,0.27895871636
ENSG00000125826,0.371981868173,2.31361172609,3.81840740093,1.95281292991,0.102929344985,6.50511078755,0.78109153835
ENSG00000125827,6.9829740482,2.19674098629,2.09655561937,11.3419798416,0.126275020485,0.103704570595,0.50208736825
ENSG00000213551,0.15363889555,0.833686473277,3.55069188753,1.69599154093,0.039853940135,1.97432659505,0.40829924968
ENSG00000205323,7.56362300473,3.61611307418,0.557703915367,4.9067901093,2.7735615651,2.05616436465,2.49770570285
ENSG00000206418,5.23778928907,2.93170580161,5.37877458907,3.88462303331,0.1601409444,2.3731260214,0.2479087993
ENSG00000138395,0.389789765778,0.33350707584,0.269502648834,0.401900886265,0.301745955645,0.024564864849,0.522862313467
ENSG00000188997,0.248705070531,0.640893225282,0.0756069032098,0.535101875825,0.117118801815,4.13470103775,0.440019118435
ENSG00000166595,3.39348381959,3.18309106636,3.0679073769,0.970458668501,4.8417531626,0.1378398492,0.401203507015
ENSG00000166592,1.07430716527,0.894683257187,1.83361402265,0.1050747456,0.0539167202995,0.228892503598,0.414519267292
ENSG00000188991,0.0375703850155,0.0320568401503,0.0249785523768,0.0152200814006,0.115333674241,0.0,0.0094145308237
ENSG00000276023,0.109338481071,4.70615599252,0.961721805447,0.749231833589,0.49751613691,5.1236753385,1.81047285285
ENSG00000126895,0.546159997259,0.313580308155,0.997165110604,0.0399025044658,0.0149127255393,0.100959154791,0.130287645881
ENSG00000186591,3.85139038567,8.63985797239,1.3398147052,8.87754283463,0.961782153,1.3939644322,0.5740173233
ENSG00000152592,0.161207184631,0.010029281239,0.271060231459,0.659210949612,0.221056466842,0.0,0.092780121274
ENSG00000101945,0.249632369017,0.480394110527,0.0765335296281,0.554433251369,0.072161845445,0.117834852652,0.35591110884
ENSG00000077713,0.195545773419,0.637743534067,0.657826132175,1.11950022117,0.056760001885,1.34092162796,1.15708666171
ENSG00000101940,1.99744885104,7.56960091049,0.403560572565,0.928329622598,0.16148377503,1.33336832436,0.119555232515
ENSG00000101493,0.0864679586269,0.910084686346,0.124588621886,0.706781653949,0.01787944135,0.680654160792,0.31175357663
