Ovis_aries,Homo_sapiens,Canis_lupus,Sus_scrofa,Rattus_norvegicus,Oryctolagus_cuniculus,Felis_catus
ENSG00000087269,1.64117279314,1.48534369527,10.3048639846,3.21731861929,2.58815821953,5.86538071279,9.29835323317
ENSG00000113761,1.82342587369,4.71790885528,1.5215612065,2.55321847612,2.40123540563,1.7924029698,4.38974514384
ENSG00000169379,11.5781885406,5.76362902941,3.73583819811,13.6386598886,5.64073280976,5.95375131067,13.2296123426
ENSG00000140992,5.84925587464,6.01305782982,14.6263601892,10.4276398331,23.2170236109,13.8695361757,13.5579372778
ENSG00000064115,14.8367444239,16.8920080644,4.89999959679,5.45580379026,6.40760820589,6.93030143947,10.8304048511
ENSG00000169372,8.19258525633,9.47629217216,7.02134151853,5.35157000449,2.97224754126,18.6201304615,20.9218033261
ENSG00000185379,1.81984332125,2.7459452307,5.89673017822,3.37652985492,3.90095888792,5.39949375831,3.23498071655
ENSG00000140995,6.87813538499,16.4026203922,9.61215235527,10.1766378014,2.89926014111,25.6400680601,4.81535288215
ENSG00000169371,8.38024834399,6.48530074105,6.11693331099,8.5927470655,3.83403360712,13.1481090485,9.46109736129
ENSG00000160207,2.54315431883,0.111299547215,12.9213744755,6.78312547992,0.330215445384,4.14761522484,0.132447025834
ENSG00000198948,0.138720070313,2.025945742,5.32553449892,0.83840577665,12.6814544559,29.1279876238,1.05209149117
ENSG00000160208,2.96916568829,2.24777737789,3.61640978934,3.97308448752,3.7154184133,5.26660088606,7.02020460275
ENSG00000110497,3.23639462823,3.95468128212,2.57445675041,6.93025728589,4.0724065298,5.2254639865,3.22072789858
ENSG00000183918,2.00886761419,0.453570631343,0.150919301874,5.3523837457,1.03181753304,0.0166467854946,0.262289324115
ENSG00000009830,2.53293863511,6.62631932766,3.73473862426,1.6612171537,1.8687576114,1.88271758204,2.3632765674
ENSG00000124496,0.956077679786,0.848444693309,1.64011458856,1.96303011203,2.64067512199,0.624217726986,1.10955225386
ENSG00000124490,0.00900491706857,0.00348581674807,0.0811131244525,0.0150887439683,0.184627379679,0.0,0.0
ENSG00000111726,39.279503044,6.33378949307,9.35476064991,7.81182022454,7.04628527886,23.1905787475,9.84940141345
ENSG00000111725,10.1912035213,9.46968013522,5.04842704791,4.6347685936,9.16053405327,9.70592779134,5.63126696028
ENSG00000075336,15.7043835691,13.5235305708,21.8732847314,1.42331632861,8.98918726865,14.3389883625,3.48901175464
ENSG00000103485,1.81254296421,1.21826742899,0.404780330987,0.515188979072,1.00988891517,0.691501281335,3.23863625872
ENSG00000016391,0.806186647926,0.164887569686,4.46040244698,0.290851963663,3.87993405551,0.824347937136,2.75239687045
ENSG00000107902,3.61492789305,6.29273889934,0.235411184242,6.03045016559,3.3489613119,8.98140911235,1.81846301265
ENSG00000123728,5.55869182244,9.24795721804,5.82117076465,6.93739598885,10.073594736,4.32031707007,6.57675107712
ENSG00000169155,1.9419069906,3.37980151641,1.27456185781,7.94498554734,4.80075351135,3.72478576564,2.70953760719
ENSG00000213337,4.85150735441,2.55611020566,21.3075285699,4.82811248057,3.14451278467,14.4128284446,7.4099298261
ENSG00000106052,30.5525776648,34.0237242103,66.3583810361,135.584300312,66.7120231925,82.1535663045,54.9880575378
ENSG00000156219,0.528490794533,0.199852615207,2.58054886057,0.0491380739786,34.3888379978,8.81653399834,1.32474142132
ENSG00000213339,5.70309348562,5.47508537846,6.59877098235,2.03163078876,1.06509992156,5.32663493417,3.5180346912
ENSG00000109674,0.51418782861,0.205714456489,0.223100978236,0.445079269943,0.310634886109,0.259106500952,0.03373207841
ENSG00000105556,1.57951284587,3.79550140865,3.85294599782,2.28982182682,1.65206229483,2.93764246269,4.26308550738
ENSG00000105550,0.0397942999303,0.0592297998032,0.0793687837089,0.081902911981,0.381831284503,0.0,0.0353384772173
ENSG00000109670,6.49422287025,28.4422340774,12.2645894529,10.7686333158,12.6959939833,4.66567229258,10.7136548358
ENSG00000105880,0.0241228435793,0.0637238419786,0.0208498142938,0.228284456523,0.890758052763,0.0358148864698,0.329571274134
ENSG00000169957,6.6529229617,5.06217878273,6.20565912293,4.88432677141,3.97076330074,6.96093972575,3.58627017767
ENSG00000109851,0.00282360636225,0.00194717983849,0.005194324463,0.484621154238,0.0482098464959,0.0,0.0103754561429
ENSG00000092969,2.27050706634,1.26499250928,5.65345108311,15.3972272749,10.243944723,5.09694639734,1.64743449003
ENSG00000109854,57.6482493625,10.7565237098,12.7229770356,13.2582813344,1.86482773371,14.1649122361,5.03872764725
ENSG00000150907,4.87744570012,46.4885786465,8.38655938734,23.4604902521,9.69485927718,25.257852216,11.019476108
ENSG00000118564,18.8790610022,68.5166039722,30.4600612955,53.575806432,24.0437094034,30.0352189341,48.214611715
ENSG00000110237,2.13214430524,7.8944337427,4.42734329229,3.98723108144,3.94101998403,1.71981467119,3.60107051858
ENSG00000102287,3.45665156169,18.613847454,2.32073165324,6.83664230807,1.2327398929,0.179630772285,0.0255042018832
ENSG00000138867,6.26930448856,22.587479167,49.9779613245,8.41042324119,83.6147643907,34.5185196813,32.8724442179
ENSG00000167005,16.0321066597,23.6797336882,37.0964214022,19.1764870186,19.3938218087,106.173944587,28.2016646458
ENSG00000143751,8.65531671297,5.6325915064,6.86826767611,9.54028858647,7.0528812958,11.799707202,6.0500636785
ENSG00000134153,17.6895839865,10.1166852581,5.11996978103,28.3979817935,48.2778051847,9.31612156303,16.5895070848
ENSG00000105771,1.69424383227,4.15326557561,2.33580283874,2.97239858487,3.43847318534,2.31978309687,3.8828129552
ENSG00000241258,6.29648448892,12.4529085433,45.5216205297,12.2802260914,25.6265424131,6.68514139994,10.4205506836
ENSG00000105778,6.95303067699,10.5515786021,11.4982687999,11.0676374185,8.9149396494,14.8563591008,9.30258343892
ENSG00000166200,47.3169700411,45.0498748102,21.2033448451,45.7682811092,49.6619387287,79.2824807375,45.6367247955
ENSG00000157107,19.6273500531,21.0773056838,14.830983083,19.8752100844,15.3475121841,6.81288048558,18.8996346758
ENSG00000163785,20.5248035774,35.0087942512,28.6406058919,28.135058779,33.1137618565,11.1039799302,55.1649959346
ENSG00000163781,77.0893208318,9.45336090013,7.09114389078,15.6404191017,4.85451185927,11.391556259,3.22764812415
ENSG00000084693,1.18790634807,4.26699064305,1.44182637199,2.32293129634,1.11831108088,1.67100956622,0.705410954257
ENSG00000167264,3.06308608307,4.02576858619,5.54474794146,9.87846336089,3.28284481006,6.45597282753,2.62374340229
ENSG00000188133,0.0,0.00201628801523,0.705443966623,0.561709867922,0.113712520889,0.579642204914,0.499615670058
ENSG00000108106,9.4988235817,4.90598743788,2.08578624842,4.41986156973,26.2067041674,8.28982035353,11.3802572697
ENSG00000186866,15.7983032438,5.66598314733,4.39734536427,14.4990472517,10.4661833357,28.5439854867,7.27002428705
ENSG00000108100,37.8398547593,21.6493687276,11.7317232499,17.4122010572,43.4127741809,29.4092912599,17.0667905493
ENSG00000186862,0.0541874163216,0.358133810985,0.0549144945213,0.564710482608,0.1667393023,0.076879913933,0.189424510708
ENSG00000186868,0.957932881722,1.55344981922,1.13485367689,1.74569991044,1.30135108199,2.80084865071,0.309488296597
ENSG00000204033,0.0,0.00201291718911,0.002726429687,0.0074189939993,0.0,0.01185652453,0.0
ENSG00000015153,13.523843092,15.5108538222,14.0411988018,16.1420421525,14.9206669518,6.42316513452,19.7037751472
ENSG00000162441,41.8143789989,10.2606410081,9.5078301075,67.1426613947,4.48870897117,20.063939441,13.9945324426
ENSG00000102981,0.691073560389,0.803151498447,0.113270662428,0.185588224293,0.281681571955,2.39835500796,0.499978737364
ENSG00000047249,20.8228580624,14.8615801265,14.5369436235,20.1258209978,8.33142155688,10.7233567672,17.4434108372
ENSG00000139737,0.283829559402,1.0644382798,0.280915455092,0.248158563299,1.14019680083,0.51831867971,0.362458001615
ENSG00000214960,7.57653814176,1.34224339893,5.24643264576,1.56877159605,2.05415295944,4.06770114654,3.13487166664
ENSG00000105085,0.538010478624,2.03884905929,1.75336605415,1.12602836127,10.1433859167,0.765490002652,1.03567369039
ENSG00000051108,34.1654674523,53.7346073674,26.0279105603,40.7623732463,21.4773106681,28.6352853966,20.9582886843
ENSG00000005302,18.194733438,7.17855499068,4.91659889019,14.839038392,22.440445482,0.0,9.55018641959
ENSG00000113302,0.0158712354419,0.0409372338082,0.0141368520504,0.00823043841893,0.600915162696,0.0,0.0799342255552
ENSG00000074201,13.9099111816,43.9827496098,17.5405086761,19.5261572142,16.2483059616,27.9630517286,23.9560357144
ENSG00000102984,2.00564935715,1.60468987288,2.97382338927,4.08431775601,3.96526495373,5.03339628395,9.15760232542
ENSG00000274211,3.69114538508,3.75734375426,3.37637181247,2.32982165256,3.23754376474,3.4241447714,2.50474597432
ENSG00000073969,5.6098620878,11.1610326452,9.26972884423,5.29508363875,4.76444225095,5.05804212527,7.40927581402
ENSG00000185880,0.18228295941,6.2485576297,0.607625513204,0.0194418806574,0.702101365177,0.190237242301,0.0227380452337
ENSG00000063241,4.87446795515,14.1947871968,22.7555444652,6.33041723445,4.92448665256,29.0835816505,8.74063407957
ENSG00000145103,0.00379046821487,0.0487700707455,0.0174130292633,0.022325184645,5.09501043544,0.857444482777,0.140240425941
ENSG00000101255,1.16418378324,9.93040545187,0.724506286278,4.29640861813,0.554497368016,4.32986061878,1.08292181457
ENSG00000145107,1.0434435785,0.842556435663,1.10560847946,3.62759158407,2.21440105243,1.68294032373,2.74947188625
