Ovis_aries,Homo_sapiens,Canis_lupus,Sus_scrofa,Rattus_norvegicus,Oryctolagus_cuniculus,Felis_catus
ENSG00000167693,3.82505581449,3.92539087099,7.10412430997,3.45275582642,10.5694185014,10.1426950031,13.2577271224
ENSG00000064703,8.61126057391,2.92397524489,8.3279856575,7.85130793505,5.02509775456,11.2784757427,5.3358075345
ENSG00000230873,0.0,0.236853051865,0.687029207135,0.016632145604,0.299820250243,0.0126061408181,0.0861324784356
ENSG00000110514,0.65093984411,9.23519479818,2.91970481688,2.42415633829,2.3155948327,2.2561659926,1.2687274531
ENSG00000174776,0.0454865595523,0.820058553809,0.0484877625498,0.0473225124599,0.165785003951,0.0,0.0816617053746
ENSG00000168032,0.0282369029942,0.38436557317,0.903029205175,0.652683050065,0.316146018446,2.21112945121,0.0053290327919
ENSG00000167741,0.0282053841321,0.106262431939,0.0553292835916,0.342443073201,0.400098806066,0.160409967435,0.0
ENSG00000167740,13.082547536,5.9878516398,6.27747110599,3.31424690506,1.0978257056,4.18547718727,2.1057290992
ENSG00000168038,1.5027837372,5.06108725476,1.5633636742,2.6682900273,0.471729379419,1.75799225503,3.33487364151
ENSG00000167749,0.0489999937108,0.506491750477,1.15250073165,0.00678963709959,0.161767630256,0.0106487243055,0.766067559147
ENSG00000112149,23.2150230624,2.62861448357,1.69298987245,3.52787813497,5.49625389867,2.02279321121,10.9612787228
ENSG00000084676,5.29259708651,16.5016041673,8.96519594779,12.3424293077,15.5843157664,12.6416798245,10.7786784582
ENSG00000087495,0.0406464828063,0.845206921344,0.0228074425649,0.531901635077,0.0662186374795,0.102518195949,0.0149204931066
ENSG00000169740,14.6869532526,11.2801288313,6.09895957679,2.58165424378,16.6954316741,18.1291640543,1.77465368567
ENSG00000261609,7.37592770636,5.40919469005,7.28055256062,6.65123039563,1.86979527412,7.58424055126,3.84217611026
ENSG00000197150,2.70864506108,5.68905426744,3.44180301275,2.89732523041,2.99042192899,0.509331826379,1.6335360603
ENSG00000168297,6.47170676782,10.7757038075,19.0624641439,13.4029240784,11.8149321508,9.9089124518,11.1126258988
ENSG00000120907,2.89482235174,3.24479121588,2.92153381617,1.85692839974,1.33690807021,1.26724540235,8.83761399966
ENSG00000105879,2.11877469082,9.44686955553,2.6662967253,8.23782198237,6.08705098857,3.30373050602,15.1895207333
ENSG00000105875,6.00372656157,3.60794723442,5.23431158109,3.04594054124,4.6642229928,4.55582282335,4.65329419998
ENSG00000057294,2.10741200731,4.0117420701,0.828080104567,1.1640615141,5.56029088299,0.599169998813,1.79009033495
ENSG00000146083,0.745486418663,3.80174018937,2.35318860931,4.28043854137,6.06702076969,1.14901324484,1.54751485965
ENSG00000136250,4.86855237303,2.82934299978,0.853490388216,1.42402050836,3.24089221604,5.30508384277,0.976840530887
ENSG00000149792,36.4810303698,6.25560601148,38.5714396125,7.43138758186,18.731843236,46.8536803373,8.19346508613
ENSG00000149021,4.26603319124,0.0,0.0848726519797,0.11593086595,0.06780911883,15.8710673437,2.16444610331
ENSG00000146085,31.5255265411,9.34328802158,11.4370010707,36.1121060562,11.2493033666,37.4000994501,13.6507013073
ENSG00000132591,2.78233460898,4.38082909723,6.91229791943,4.22618997134,6.61897577396,1.66395415404,4.11337957216
ENSG00000102471,49.7605897944,8.01455742964,8.1468180438,10.7163644209,23.4873540449,19.5162517362,11.4997425715
ENSG00000165997,17.983715196,4.62710329639,16.468792407,10.2223701673,6.34998594015,4.32693738254,12.8420457127
ENSG00000177707,8.62577949285,11.1467821892,10.0267421647,16.5006031915,9.51205841479,7.91938280885,7.88274257459
ENSG00000180644,0.40139837681,1.19205479676,0.333625768991,0.412481617216,3.18022115904,0.0378045084608,0.281848242827
ENSG00000203872,0.039873987266,0.491725812349,0.055135399489,2.07044429764,0.100798303267,1.14727815477,4.64117322465
ENSG00000147689,0.061159008044,0.0534015956188,1.38361842559,0.121351408377,1.12466030138,0.0,1.17920480769
ENSG00000147687,12.8427772123,21.2310360064,20.1330020772,8.92929741056,9.02685582367,2.25203245573,17.3231730823
ENSG00000147684,76.4809152916,35.5005067254,32.7825263922,116.186370882,125.261224578,363.171125421,80.8993803646
ENSG00000188342,13.5467782369,6.34503820449,19.7876743662,27.5516731673,5.53590166173,8.08785952565,4.02251065222
ENSG00000188343,22.9668141654,13.8710495554,12.2573212256,8.16045644665,17.4186755545,73.3648222395,27.5742981456
ENSG00000114529,0.136465514109,0.335482054632,0.273429245266,0.0318997588842,1.52505681476,0.00654715808375,0.0563154476649
ENSG00000142676,1174.08710091,579.516690241,989.567508118,1706.82908808,1030.5311645,211.448057409,593.98309161
ENSG00000135617,20.2867012535,3.61958448662,3.22374053984,6.92422445996,1.73474727711,12.116759654,4.96173051196
ENSG00000166839,0.0,2.83819017934,1.15022798807,0.350873368739,0.285470932591,0.736030065112,0.479427936393
ENSG00000145198,0.110071014143,0.0147689000155,0.676105000536,0.0459030789807,0.0668214288074,0.0231676487549,1.05128251494
ENSG00000145191,18.120124941,10.1615453125,3.96811038173,14.9823298272,8.24179714856,7.78661315151,9.12665586037
ENSG00000156973,25.0381777596,3.34342387312,10.2786951358,10.6284833964,7.04767985004,1.645496141,11.9479821109
ENSG00000184708,3.01735871815,4.93222868362,5.09821010912,6.70235656502,6.3633434163,5.64973683362,6.37126794612
ENSG00000169814,16.4512363595,15.1599806521,17.4866299456,5.38570280612,7.3767741711,6.95164474945,2.67327707975
ENSG00000163463,105.067719284,26.7583056867,54.1016704416,58.6429162847,14.5013236615,35.6980902805,7.37443181112
ENSG00000214113,43.6401652233,5.97695457897,22.6490688135,3.64987592609,13.7121026517,44.294541016,50.8921326485
ENSG00000163466,44.3414178784,57.1776150464,109.369896588,80.9769498305,150.331305878,78.3734008139,42.8516452912
ENSG00000240021,0.0160119979397,2.68599460382,0.0,0.157394711445,0.547943026528,2.0203718988,0.0
ENSG00000163468,37.4647050417,22.4155016575,42.2729917219,32.3128667994,28.6510725288,15.8811207917,45.9121951417
ENSG00000105290,1.07209516592,0.843564682,1.0365834947,0.428809938622,2.19080833218,0.672566837347,7.07011431179
ENSG00000179222,4.28452293783,8.20789921021,9.16186895218,12.3933083121,26.0341760102,4.68666191538,11.7789236481
ENSG00000109738,0.0254440732178,3.44867319192,16.3065259578,1.47084022937,1.65296139479,7.28697008205,10.1469734652
ENSG00000058600,4.9541822362,10.8533988686,7.27036068073,3.1056512422,4.09470957743,5.93585745402,6.67513074027
ENSG00000029364,10.7363473121,13.3109846963,8.6359012542,8.65623665802,7.66236452201,8.48130715571,10.9684214183
ENSG00000172289,0.00628022713133,0.0,0.0,0.0298214445091,0.0,0.0,0.147348597039
ENSG00000029363,21.7402207741,58.8431459282,24.5961999294,49.3469781843,48.9689356106,25.6390144583,26.1860087527
ENSG00000162594,0.898407594112,0.0356585529086,0.107012898934,1.19678743533,0.498936142731,0.058421924609,0.0417074168599
ENSG00000118640,95.6798730421,12.502542322,79.1877192659,121.390612137,304.439165361,248.673884521,21.7076714592
ENSG00000168488,3.64114436028,15.145263431,8.3253949252,11.5014551613,5.50265569123,4.17227930049,4.29833470975
ENSG00000090776,11.9629227703,8.70920165276,4.94963644725,8.00172673878,3.4706451275,13.4748910437,7.51994621031
ENSG00000155463,14.4887047044,21.9276594596,11.7000050692,12.8652549517,19.343216033,22.4730673238,12.1003957926
ENSG00000253148,0.0367491103497,0.00578913557209,0.0,0.172010033753,0.277212271259,0.0,0.0
ENSG00000213853,22.2903245673,12.5384797975,16.3402130874,10.7937446441,2.12148387941,7.89614596479,5.88638249686
ENSG00000213585,21.7765732601,41.6250234703,52.070862773,111.317808073,40.1625539898,178.777575092,67.0079113216
ENSG00000138346,0.333599804965,3.76009348232,1.66685844084,1.79611124709,8.55031536597,0.167163203447,2.60172292463
ENSG00000105122,0.585230572872,0.791148682722,0.299133190201,0.362060561919,2.04642453116,0.0737643237078,0.148340928587
ENSG00000105127,7.07013693651,7.37887615264,14.5327023982,10.1393828174,9.01573253484,11.7295552145,9.37622991782
ENSG00000070269,6.93194987392,7.13832625926,4.75591532548,13.7702793047,4.59439424475,4.17339731954,8.53236974299
ENSG00000186566,5.92525213624,10.7254261994,6.01450305071,9.36898564571,4.44104977351,4.45986885923,5.55752746706
ENSG00000146223,28.9690258533,23.3092790222,23.5445007082,8.18430486176,15.4742721156,32.789302547,21.6974564145
ENSG00000146221,0.0,0.0521219412472,0.00280517782878,0.00181299794973,0.495708401069,0.0,0.0453275312562
ENSG00000060709,0.0111318679613,0.0442023607941,0.246388291403,0.0447648740155,1.35535043958,0.042139976005,0.163441711381
ENSG00000133318,13.6162982893,60.3532160401,24.7476355916,89.3815894631,24.3498216386,20.3135835071,31.0859338426
ENSG00000133317,4.8126343753,32.260200492,49.3848712658,11.0354326193,5.80151111746,81.1341582844,8.94346171366
ENSG00000055070,60.4279613142,17.09759291,43.9087459708,12.3469810442,13.6795525116,51.5772245088,49.2629150896
ENSG00000141026,12.68153782,2.90991038272,2.20162686232,3.63500650358,11.0424060249,339.020057388,3.57544888288
ENSG00000137343,1.10383200842,1.00718130321,3.06236804867,1.61732291283,12.6953209353,2.4334110938,3.40427214588
ENSG00000155719,0.298621237232,0.216668719671,0.071646674879,0.0090069798348,0.0756902274207,0.0163484705956,0.0772796825338
ENSG00000198894,1.96972187216,6.59264272201,11.169294877,5.80054428566,6.018914585,2.6917650485,25.8114541101
ENSG00000066422,8.43803463209,6.46591396844,8.83093323566,8.97465937687,6.57135990491,7.96496307465,10.4136618077
ENSG00000155714,0.373333822609,0.295202640067,0.120711620448,1.71971552176,0.223379280145,0.0438873014625,0.427823406653
ENSG00000182010,0.124180728105,0.473644859315,1.13548888388,1.02182316511,0.672119505708,0.119405597223,0.129992290833
ENSG00000130962,5.27730032884,5.58470890962,3.45826987466,8.96082600647,7.52963585638,5.30984982367,2.78458985921
ENSG00000108064,19.9874480615,14.0752110166,22.4636171438,15.9057751013,15.5097283465,6.88363763674,11.1763407008
ENSG00000108061,15.5229007422,37.3178434697,12.7785508343,17.6826585364,17.0881142925,31.5741185965,18.1099580637
ENSG00000102125,4.67688096558,5.56290082854,7.46963311162,7.0005631284,8.50903120952,5.71443716021,4.33664143215
ENSG00000204178,11.8035492463,5.11806910367,20.3496478763,19.5741057755,13.6950927146,20.1747480412,8.64034411516
ENSG00000067082,61.0286291778,32.7532329147,54.1961549224,96.4901499748,25.27895163,69.281057378,71.6352279077
ENSG00000121621,0.45106923837,0.334785854585,2.58907328081,0.751577708439,2.37579362607,1.24291262603,0.241317033753
ENSG00000181938,0.644894234104,5.16545818124,3.83191425253,1.59509980122,0.543822893582,0.0110791427145,0.537487040867
ENSG00000174429,0.413925399861,0.0276443675557,2.71253710552,1.29284646536,0.656195638924,7.9742348406,1.90879819648
ENSG00000132388,50.7588381037,15.7664374708,4.95271168382,11.5215423148,28.2238852995,66.1496129776,13.4586086016
ENSG00000181284,0.209763508094,0.468181838842,0.981884883527,1.41267583575,1.93464148511,0.419748702372,0.509341988096
ENSG00000164654,5.02130837393,8.58952769836,12.8705066793,10.2269273303,5.49026154778,20.6338338388,11.4547569475
ENSG00000161021,1.96646231102,5.55794974328,4.77519412792,5.69152927636,3.42600279218,2.5671766964,3.36297299077
ENSG00000269404,11.0043904222,0.211845827908,0.090752644459,0.0651249106109,1.41661208658,0.563974369282,0.0418319652327
ENSG00000072736,3.14124830811,10.227904525,8.77609140014,9.37507348611,18.4566526464,7.79304909586,10.3055453155
ENSG00000261603,0.0114203155705,0.00992055721314,2.2128952431,0.0727593264281,0.0280687744622,0.0,0.111078603627
ENSG00000116574,20.6505083483,7.98443986917,8.05575640695,3.87885888278,8.39375990274,20.1513520378,9.48536797602
ENSG00000130349,7.71936000347,7.85604852632,7.27816297244,8.99031881406,12.6216225057,2.93540434238,5.07640265158
