genename	AIC	lnL	k	AICC
ENSG00000168300	72.0380312667135	-33.0190156333567	3	80.0380312667135
ENSG00000092853	26.2360752683105	-10.1180376341553	3	34.2360752683105
ENSG00000109743	52.4822709884307	-23.2411354942153	3	60.4822709884307
ENSG00000127463	42.0753957180309	-18.0376978590154	3	50.0753957180309
ENSG00000180347	32.6687227650285	-13.3343613825143	3	40.6687227650285
ENSG00000143575	65.3904648811999	-29.6952324405999	3	73.3904648811999
ENSG00000118855	57.7075643225168	-25.8537821612584	3	65.7075643225168
ENSG00000080802	44.5288539813634	-19.2644269906817	3	52.5288539813634
ENSG00000185480	18.2817592845924	-6.14087964229619	3	26.2817592845924
ENSG00000163827	35.0728623025858	-14.5364311512929	3	43.0728623025858
ENSG00000115041	18.0822011348935	-6.04110056744673	3	26.0822011348935
ENSG00000138398	52.5729512456819	-23.286475622841	3	60.5729512456819
ENSG00000138399	41.3437315410131	-17.6718657705066	3	49.3437315410131
ENSG00000125826	51.5936297915787	-22.7968148957894	3	59.5936297915787
ENSG00000125827	55.8376799195302	-24.9188399597651	3	63.8376799195302
ENSG00000213551	54.0824333043311	-24.0412166521656	3	62.0824333043311
ENSG00000205323	68.7289285998617	-31.3644642999309	3	76.7289285998617
ENSG00000206418	63.7859008369724	-28.8929504184862	3	71.7859008369724
ENSG00000138395	12.3093785782458	-3.15468928912291	3	20.3093785782458
ENSG00000188997	46.4732855710039	-20.236642785502	3	54.4732855710039
ENSG00000166595	58.4963495636398	-26.2481747818199	3	66.4963495636398
ENSG00000166592	28.7621976351955	-11.3810988175978	3	36.7621976351955
ENSG00000188991	-15.8372620789071	10.9186310394536	3	-7.83726207890714
ENSG00000276023	49.2131566731979	-21.606578336599	3	57.2131566731979
ENSG00000126895	20.8953449773746	-7.44767248868729	3	28.8953449773746
ENSG00000186591	62.4463160892895	-28.2231580446447	3	70.4463160892895
ENSG00000152592	13.721043759318	-3.86052187965898	3	21.721043759318
ENSG00000101945	18.8740296486847	-6.43701482434236	3	26.8740296486847
ENSG00000077713	28.6662241377304	-11.3331120688652	3	36.6662241377304
ENSG00000101940	50.8976895755803	-22.4488447877901	3	58.8976895755803
ENSG00000101493	29.0608774370126	-11.5304387185063	3	37.0608774370126
ENSG00000119899	46.7359432363409	-20.3679716181705	3	54.7359432363409
ENSG00000004897	54.6456212507471	-24.3228106253735	3	62.6456212507471
ENSG00000164440	33.3577420517578	-13.6788710258789	3	41.3577420517578
ENSG00000148019	23.3805011280339	-8.69025056401694	3	31.3805011280339
ENSG00000104044	13.6931300466932	-3.84656502334658	3	21.6931300466932
ENSG00000104047	58.0683892976076	-26.0341946488038	3	66.0683892976076
ENSG00000198843	72.2037086329442	-33.1018543164721	3	80.2037086329442
ENSG00000198844	36.5449439742072	-15.2724719871036	3	44.5449439742072
ENSG00000150337	39.6006746036445	-16.8003373018222	3	47.6006746036445
ENSG00000198846	12.0050415006263	-3.00252075031317	3	20.0050415006263
ENSG00000130939	35.2251564099572	-14.6125782049786	3	43.2251564099572
ENSG00000130935	34.5741157442123	-14.2870578721062	3	42.5741157442123
ENSG00000159248	7.46203031178997	-0.731015155894984	3	15.46203031179
ENSG00000173451	47.0282503735106	-20.5141251867553	3	55.0282503735106
ENSG00000173452	6.85844521985048	-0.429222609925241	3	14.8584452198505
ENSG00000125355	34.2947136702715	-14.1473568351357	3	42.2947136702715
ENSG00000196505	41.5886621805846	-17.7943310902923	3	49.5886621805846
ENSG00000196503	32.1268118081835	-13.0634059040917	3	40.1268118081835
ENSG00000170153	45.074425872168	-19.537212936084	3	53.074425872168
ENSG00000121653	40.73862864124	-17.36931432062	3	48.73862864124
ENSG00000174109	65.8800138955385	-29.9400069477692	3	73.8800138955385
ENSG00000178301	20.9208139797401	-7.46040698987003	3	28.9208139797401
ENSG00000164190	50.3509504112192	-22.1754752056096	3	58.3509504112192
ENSG00000242715	26.7863600939493	-10.3931800469747	3	34.7863600939493
ENSG00000198901	24.383122178217	-9.19156108910848	3	32.383122178217
ENSG00000168438	42.2933597872754	-18.1466798936377	3	50.2933597872754
ENSG00000178307	47.7202067136106	-20.8601033568053	3	55.7202067136106
ENSG00000181904	81.3294427482522	-37.6647213741261	3	89.3294427482522
ENSG00000168824	38.8066722641084	-16.4033361320542	3	46.8066722641084
ENSG00000168827	49.6384335314276	-21.8192167657138	3	57.6384335314276
ENSG00000168826	14.1452274752205	-4.07261373761023	3	22.1452274752205
ENSG00000198908	34.2479687510958	-14.1239843755479	3	42.2479687510958
ENSG00000175857	23.2548766666269	-8.62743833331345	3	31.2548766666269
ENSG00000175854	62.6871981144125	-28.3435990572063	3	70.6871981144125
ENSG00000161011	80.5075566177205	-37.2537783088602	3	88.5075566177205
ENSG00000161010	59.5052847878258	-26.7526423939129	3	67.5052847878258
ENSG00000117632	63.8999782713058	-28.9499891356529	3	71.8999782713058
ENSG00000088726	14.1453640210728	-4.0726820105364	3	22.1453640210728
ENSG00000170370	25.4625626508892	-9.73128132544458	3	33.4625626508892
ENSG00000110060	35.4505591981375	-14.7252795990688	3	43.4505591981375
ENSG00000110066	47.4516568295655	-20.7258284147827	3	55.4516568295655
ENSG00000007545	15.7237511161152	-4.86187555805758	3	23.7237511161152
ENSG00000007541	39.5424703815387	-16.7712351907694	3	47.5424703815387
