genename	AIC	lnL	k	AICC
ENSG00000122203	54.233728982304	-24.116864491152	3	62.233728982304
ENSG00000186166	39.5470406189789	-16.7735203094894	3	47.5470406189789
ENSG00000254470	21.1248397686858	-7.56241988434292	3	29.1248397686858
ENSG00000185585	34.2173158755341	-14.1086579377671	3	42.2173158755341
ENSG00000183530	44.2379324294157	-19.1189662147078	3	52.2379324294157
ENSG00000075188	37.4557904432421	-15.7278952216211	3	45.4557904432421
ENSG00000089737	63.7790792220141	-28.889539611007	3	71.779079222014
ENSG00000125965	25.4389112864444	-9.71945564322218	3	33.4389112864444
ENSG00000090376	49.2594299788258	-21.6297149894129	3	57.2594299788258
ENSG00000050426	52.0517898484564	-23.0258949242282	3	60.0517898484564
ENSG00000160218	39.6056250468359	-16.8028125234179	3	47.6056250468359
ENSG00000158321	38.5990475442245	-16.2995237721122	3	46.5990475442245
ENSG00000145337	75.5908455342635	-34.7954227671318	3	83.5908455342635
ENSG00000100439	59.6987950051137	-26.8493975025568	3	67.6987950051137
ENSG00000076706	82.805218951804	-38.402609475902	3	90.805218951804
ENSG00000014123	54.6186171637237	-24.3093085818619	3	62.6186171637237
ENSG00000070669	51.4258717360318	-22.7129358680159	3	59.4258717360318
ENSG00000116824	29.0293615287002	-11.5146807643501	3	37.0293615287002
ENSG00000130433	6.25966116731095	-0.129830583655477	3	14.259661167311
ENSG00000158292	35.179237057901	-14.5896185289505	3	43.179237057901
ENSG00000073060	66.535352056162	-30.267676028081	3	74.535352056162
ENSG00000006712	47.2400195170788	-20.6200097585394	3	55.2400195170788
ENSG00000006715	54.2202726975253	-24.1101363487627	3	62.2202726975253
ENSG00000168621	-21.1925607939035	13.5962803969517	3	-13.1925607939035
ENSG00000158813	19.4170288565364	-6.70851442826822	3	27.4170288565364
ENSG00000196865	55.057953881552	-24.528976940776	3	63.057953881552
ENSG00000196860	40.749010037882	-17.374505018941	3	48.749010037882
ENSG00000158816	-10.9080493369561	8.45402466847806	3	-2.90804933695613
ENSG00000158815	-18.98417738504	12.49208869252	3	-10.98417738504
ENSG00000137522	45.409335693579	-19.7046678467895	3	53.409335693579
ENSG00000184983	88.1101983189632	-41.0550991594816	3	96.1101983189632
