genename	AIC	lnL	k	AICC
ENSG00000049656	49.9828800896543	-21.9914400448272	3	57.9828800896543
ENSG00000151882	45.7711024895594	-19.8855512447797	3	53.7711024895594
ENSG00000151465	56.0650251106386	-25.0325125553193	3	64.0650251106386
ENSG00000066855	43.2978951481436	-18.6489475740718	3	51.2978951481436
ENSG00000123575	46.5990747715486	-20.2995373857743	3	54.5990747715486
ENSG00000123572	17.4391984596365	-5.71959922981826	3	25.4391984596365
ENSG00000123570	19.590046393089	-6.79502319654448	3	27.590046393089
ENSG00000003393	39.6763575946512	-16.8381787973256	3	47.6763575946512
ENSG00000149557	42.4780929384357	-18.2390464692178	3	50.4780929384357
ENSG00000102239	-4.33794652097331	5.16897326048666	3	3.66205347902669
ENSG00000102543	47.3797868713473	-20.6898934356737	3	55.3797868713473
ENSG00000102230	18.5511164058877	-6.27555820294386	3	26.5511164058877
ENSG00000159197	43.3075296241139	-18.6537648120569	3	51.3075296241139
ENSG00000167098	18.8684219258873	-6.43421096294364	3	26.8684219258873
ENSG00000143921	16.9310137793834	-5.46550688969172	3	24.9310137793834
ENSG00000035681	52.7393324417553	-23.3696662208776	3	60.7393324417553
ENSG00000171209	132.700365863559	-63.3501829317795	3	140.700365863559
ENSG00000171206	58.8727643776564	-26.4363821888282	3	66.8727643776564
ENSG00000171204	53.785056927095	-23.8925284635475	3	61.785056927095
ENSG00000167094	17.5441091047632	-5.77205455238159	3	25.5441091047632
ENSG00000180776	58.6997595437276	-26.3498797718638	3	66.6997595437276
ENSG00000057019	57.6909883646668	-25.8454941823334	3	65.6909883646668
ENSG00000180772	1.88659457673513	2.05670271163243	3	9.88659457673513
ENSG00000111224	48.8476601368841	-21.423830068442	3	56.8476601368841
ENSG00000166946	65.7335768201455	-29.8667884100728	3	73.7335768201455
ENSG00000166947	35.9515640973702	-14.9757820486851	3	43.9515640973702
ENSG00000188015	30.8648843859789	-12.4324421929894	3	38.8648843859789
ENSG00000184454	45.2778726236566	-19.6389363118283	3	53.2778726236566
ENSG00000106341	8.56355834251689	-1.28177917125845	3	16.5635583425169
ENSG00000132718	15.4465728491503	-4.72328642457513	3	23.4465728491503
ENSG00000184459	11.7766481560526	-2.88832407802629	3	19.7766481560526
ENSG00000214642	18.5508429192345	-6.27542145961727	3	26.5508429192345
ENSG00000240771	38.5823371846217	-16.2911685923108	3	46.5823371846217
ENSG00000163738	34.4855736542074	-14.2427868271037	3	42.4855736542074
ENSG00000184937	-13.266688923112	9.63334446155602	3	-5.26668892311204
ENSG00000141956	12.6732208366944	-3.3366104183472	3	20.6732208366944
ENSG00000257987	47.4145664500876	-20.7072832250438	3	55.4145664500876
ENSG00000062582	75.4192081751967	-34.7096040875984	3	83.4192081751967
ENSG00000166509	28.9153962502453	-11.4576981251227	3	36.9153962502453
ENSG00000114767	38.5598783822291	-16.2799391911146	3	46.5598783822291
ENSG00000126970	33.6710497549163	-13.8355248774582	3	41.6710497549163
ENSG00000115414	81.0930855594242	-37.5465427797121	3	89.0930855594242
