genename	AIC	lnL	k	AICC
ENSG00000167693	43.9232472516758	-18.9616236258379	3	51.9232472516758
ENSG00000064703	39.1433261300709	-16.5716630650355	3	47.1433261300709
ENSG00000230873	5.27823789046065	0.360881054769677	3	13.2782378904606
ENSG00000110514	39.0207674947959	-16.510383747398	3	47.0207674947959
ENSG00000174776	6.83968699854177	-0.419843499270886	3	14.8396869985418
ENSG00000168032	20.9830892088092	-7.49154460440459	3	28.9830892088092
ENSG00000167741	-1.14867136390724	3.57433568195362	3	6.85132863609276
ENSG00000167740	44.1125379294134	-19.0562689647067	3	52.1125379294134
ENSG00000168038	30.532284715441	-12.2661423577205	3	38.532284715441
ENSG00000167749	13.0536587421268	-3.52682937106342	3	21.0536587421268
ENSG00000112149	53.5418825055109	-23.7709412527555	3	61.5418825055109
ENSG00000084676	43.2345474464652	-18.6172737232326	3	51.2345474464652
ENSG00000087495	9.09281587399002	-1.54640793699501	3	17.09281587399
ENSG00000169740	51.0571059771716	-22.5285529885858	3	59.0571059771716
ENSG00000261609	35.5608949275778	-14.7804474637889	3	43.5608949275778
ENSG00000197150	31.38888476909	-12.694442384545	3	39.38888476909
ENSG00000168297	43.6485690200885	-18.8242845100443	3	51.6485690200885
ENSG00000120907	38.2329036611705	-16.1164518305853	3	46.2329036611705
ENSG00000105879	46.3780362387428	-20.1890181193714	3	54.3780362387428
ENSG00000105875	24.4930186338156	-9.24650931690779	3	32.4930186338156
ENSG00000057294	33.1270810282769	-13.5635405141384	3	41.1270810282769
ENSG00000146083	34.0591280635427	-14.0295640317713	3	42.0591280635427
ENSG00000136250	33.0495646162316	-13.5247823081158	3	41.0495646162316
ENSG00000149792	64.5276896463009	-29.2638448231505	3	72.5276896463009
ENSG00000149021	49.4024396321787	-21.7012198160893	3	57.4024396321787
ENSG00000146085	60.415547528442	-27.207773764221	3	68.4155475284419
ENSG00000132591	33.7036855371928	-13.8518427685964	3	41.7036855371928
ENSG00000102471	62.5914992478555	-28.2957496239278	3	70.5914992478555
ENSG00000165997	47.4777299315292	-20.7388649657646	3	55.4777299315292
ENSG00000177707	40.1847553068464	-17.0923776534232	3	48.1847553068464
ENSG00000180644	25.7719012755944	-9.88595063779719	3	33.7719012755944
ENSG00000203872	32.0620691459822	-13.0310345729911	3	40.0620691459822
ENSG00000147689	18.0823051654631	-6.04115258273157	3	26.0823051654631
ENSG00000147687	51.4929624648061	-22.746481232403	3	59.4929624648061
ENSG00000147684	90.7024345207536	-42.3512172603768	3	98.7024345207536
ENSG00000188342	55.1241039175358	-24.5620519587679	3	63.1241039175358
ENSG00000188343	68.2347953342697	-31.1173976671349	3	76.2347953342697
ENSG00000114529	16.0008548108229	-5.00042740541146	3	24.0008548108229
ENSG00000142676	111.281946157916	-52.6409730789578	3	119.281946157916
ENSG00000135617	51.118370027408	-22.559185013704	3	59.118370027408
ENSG00000166839	23.8960117110726	-8.94800585553632	3	31.8960117110726
ENSG00000145198	11.4401464274294	-2.72007321371472	3	19.4401464274294
ENSG00000145191	46.4641480056345	-20.2320740028173	3	54.4641480056345
ENSG00000156973	52.9884364765239	-23.494218238262	3	60.9884364765239
ENSG00000184708	28.0766753026008	-11.0383376513004	3	36.0766753026008
ENSG00000169814	49.8422945230186	-21.9211472615093	3	57.8422945230186
ENSG00000163463	73.827272865646	-33.913636432823	3	81.827272865646
ENSG00000214113	66.5101854932823	-30.2550927466411	3	74.5101854932823
ENSG00000163466	75.9657094978799	-34.98285474894	3	83.9657094978799
ENSG00000240021	24.5860969630487	-9.29304848152433	3	32.5860969630487
ENSG00000163468	56.01537822872	-25.00768911436	3	64.01537822872
ENSG00000105290	36.7262296340701	-15.3631148170351	3	44.7262296340701
ENSG00000179222	52.7235548224975	-23.3617774112487	3	60.7235548224975
ENSG00000109738	49.3374693006707	-21.6687346503354	3	57.3374693006707
ENSG00000058600	37.6774286232972	-15.8387143116486	3	45.6774286232972
ENSG00000029364	34.353955732336	-14.176977866168	3	42.353955732336
ENSG00000172289	-15.9432994711416	10.9716497355708	3	-7.94329947114161
ENSG00000029363	62.969156634555	-28.4845783172775	3	70.969156634555
ENSG00000162594	13.8551889907217	-3.92759449536084	3	21.8551889907217
ENSG00000118640	89.8534069264879	-41.926703463244	3	97.8534069264879
ENSG00000168488	45.4793492945477	-19.7396746472738	3	53.4793492945477
ENSG00000090776	42.5226055441415	-18.2613027720708	3	50.5226055441415
ENSG00000155463	43.7662742878194	-18.8831371439097	3	51.7662742878194
ENSG00000253148	-6.05314904483689	6.02657452241844	3	1.94685095516311
ENSG00000213853	51.5075700303329	-22.7537850151665	3	59.5075700303329
ENSG00000213585	80.7591969098329	-37.3795984549165	3	88.7591969098329
ENSG00000138346	39.5131381357296	-16.7565690678648	3	47.5131381357296
ENSG00000105122	19.2378325395737	-6.61891626978686	3	27.2378325395737
ENSG00000105127	38.1158820027398	-16.0579410013699	3	46.1158820027398
ENSG00000070269	41.6668194941052	-17.8334097470526	3	49.6668194941052
ENSG00000186566	37.2894505766755	-15.6447252883377	3	45.2894505766755
ENSG00000146223	54.2298252172333	-24.1149126086167	3	62.2298252172333
ENSG00000146221	0.73154045887622	2.63422977056189	3	8.73154045887622
ENSG00000060709	14.6174021854039	-4.30870109270195	3	22.6174021854039
ENSG00000133318	71.0581356373872	-32.5290678186936	3	79.0581356373872
ENSG00000133317	71.8347845507184	-32.9173922753592	3	79.8347845507184
ENSG00000055070	66.9864017506643	-30.4932008753321	3	74.9864017506643
ENSG00000141026	92.2293805692542	-43.1146902846271	3	100.229380569254
ENSG00000137343	44.4424330725347	-19.2212165362673	3	52.4424330725347
ENSG00000155719	-6.4069501058481	6.20347505292405	3	1.5930498941519
ENSG00000198894	54.1543144834583	-24.0771572417291	3	62.1543144834583
ENSG00000066422	28.1830738813634	-11.0915369406817	3	36.1830738813634
ENSG00000155714	16.9786488491912	-5.48932442459562	3	24.9786488491912
ENSG00000182010	13.0682810400235	-3.53414052001175	3	21.0682810400235
ENSG00000130962	35.4373629679089	-14.7186814839544	3	43.4373629679089
ENSG00000108064	47.8943511310745	-20.9471755655373	3	55.8943511310745
ENSG00000108061	54.808072911059	-24.4040364555295	3	62.808072911059
ENSG00000102125	30.7250388210482	-12.3625194105241	3	38.7250388210482
ENSG00000204178	50.0557484819346	-22.0278742409673	3	58.0557484819346
ENSG00000067082	69.3645502863701	-31.682275143185	3	77.3645502863701
ENSG00000121621	24.4504272062623	-9.22521360313116	3	32.4504272062623
ENSG00000181938	34.2507106052852	-14.1253553026426	3	42.2507106052852
ENSG00000174429	38.8561051793083	-16.4280525896542	3	46.8561051793083
ENSG00000132388	68.5885887637588	-31.2942943818794	3	76.5885887637588
