genename	AIC	lnL	k	AICC
ENSG00000120885	97.0083719932438	-45.5041859966219	3	105.008371993244
ENSG00000031698	61.207268616512	-27.603634308256	3	69.207268616512
ENSG00000171303	28.2956825066823	-11.1478412533412	3	36.2956825066823
ENSG00000031691	35.3186119566998	-14.6593059783499	3	43.3186119566998
ENSG00000135355	3.77355672299723	1.11322163850139	3	11.7735567229972
ENSG00000179152	37.6227270450481	-15.8113635225241	3	45.6227270450481
ENSG00000179151	43.0135425581525	-18.5067712790763	3	51.0135425581525
ENSG00000142156	81.8444028714922	-37.9222014357461	3	89.8444028714922
ENSG00000147471	48.7456278328429	-21.3728139164215	3	56.7456278328429
ENSG00000142621	9.09207567052778	-1.54603783526389	3	17.0920756705278
ENSG00000223638	28.8582508430818	-11.4291254215409	3	36.8582508430818
ENSG00000169519	30.48776844383	-12.243884221915	3	38.48776844383
ENSG00000169047	34.2503669661431	-14.1251834830715	3	42.2503669661431
ENSG00000068654	31.4689119881662	-12.7344559940831	3	39.4689119881662
ENSG00000068308	49.4743601380259	-21.737180069013	3	57.4743601380259
ENSG00000163617	35.7006889120086	-14.8503444560043	3	43.7006889120086
ENSG00000189159	54.3226033146828	-24.1613016573414	3	62.3226033146828
ENSG00000163611	40.8209891864335	-17.4104945932168	3	48.8209891864335
ENSG00000183172	89.9875825257972	-41.9937912628986	3	97.9875825257972
ENSG00000167550	3.16334870666389	1.41832564666805	3	11.1633487066639
ENSG00000240344	44.8602728826705	-19.4301364413353	3	52.8602728826705
ENSG00000273274	5.65124682042809	0.174376589785955	3	13.6512468204281
ENSG00000062485	82.2911873952702	-38.1455936976351	3	90.2911873952702
ENSG00000114115	64.5916778689993	-29.2958389344996	3	72.5916778689993
ENSG00000114113	-0.456853505082498	3.22842675254125	3	7.5431464949175
ENSG00000108813	25.9038077169036	-9.9519038584518	3	33.9038077169036
ENSG00000071967	80.4611086484049	-37.2305543242025	3	88.4611086484049
ENSG00000127080	22.4898432089705	-8.24492160448524	3	30.4898432089705
ENSG00000095713	16.1064383415166	-5.05321917075832	3	24.1064383415166
ENSG00000166398	43.7761882868389	-18.8880941434194	3	51.7761882868389
ENSG00000131944	41.5205962904495	-17.7602981452247	3	49.5205962904495
ENSG00000105339	50.6251218497396	-22.3125609248698	3	58.6251218497396
ENSG00000166396	30.549355688107	-12.2746778440535	3	38.549355688107
ENSG00000131943	77.8891121160591	-35.9445560580295	3	85.8891121160591
ENSG00000106733	52.9168841246098	-23.4584420623049	3	60.9168841246098
ENSG00000152795	71.2011073670439	-32.6005536835219	3	79.2011073670439
ENSG00000136997	51.1321512280864	-22.5660756140432	3	59.1321512280864
ENSG00000132361	41.9447179907682	-17.9723589953841	3	49.9447179907682
ENSG00000273899	36.8250706011537	-15.4125353005768	3	44.8250706011537
ENSG00000015592	20.2255377344413	-7.11276886722064	3	28.2255377344413
ENSG00000136999	53.7371777037657	-23.8685888518828	3	61.7371777037657
ENSG00000138434	55.2366924025543	-24.6183462012772	3	63.2366924025543
ENSG00000138738	40.4779569312769	-17.2389784656384	3	48.4779569312769
ENSG00000128645	-4.00776769809713	5.00388384904856	3	3.99223230190287
ENSG00000182220	46.343004345041	-20.1715021725205	3	54.343004345041
ENSG00000166171	49.8816158330255	-21.9408079165127	3	57.8816158330255
ENSG00000244045	41.4886691817002	-17.7443345908501	3	49.4886691817002
ENSG00000166173	62.8749443935318	-28.4374721967659	3	70.8749443935318
ENSG00000136197	30.3785227852458	-12.1892613926229	3	38.3785227852458
ENSG00000136193	43.980188804735	-18.9900944023675	3	51.980188804735
ENSG00000171862	71.811539604154	-32.905769802077	3	79.811539604154
ENSG00000164823	44.0428877906474	-19.0214438953237	3	52.0428877906474
ENSG00000164825	118.992908735316	-56.4964543676579	3	126.992908735316
ENSG00000164828	58.5161071303135	-26.2580535651568	3	66.5161071303135
ENSG00000091127	47.9655514808679	-20.982775740434	3	55.9655514808679
ENSG00000091651	36.2570462219944	-15.1285231109972	3	44.2570462219944
ENSG00000049130	70.5709326359162	-32.2854663179581	3	78.5709326359162
ENSG00000186687	61.4421539529069	-27.7210769764534	3	69.4421539529069
ENSG00000077514	35.0639296548316	-14.5319648274158	3	43.0639296548316
ENSG00000119471	60.6191800315443	-27.3095900157721	3	68.6191800315443
ENSG00000116212	37.8809367097731	-15.9404683548866	3	45.8809367097731
ENSG00000116218	23.6687439548549	-8.83437197742745	3	31.6687439548549
ENSG00000130595	75.4389067412037	-34.7194533706018	3	83.4389067412037
ENSG00000176720	72.9575487970343	-33.4787743985172	3	80.9575487970343
ENSG00000137876	71.1208605362808	-32.5604302681404	3	79.1208605362808
ENSG00000107020	51.9388838738235	-22.9694419369117	3	59.9388838738235
ENSG00000129682	32.6225968515426	-13.3112984257713	3	40.6225968515426
ENSG00000129680	66.6023636863902	-30.3011818431951	3	74.6023636863902
ENSG00000160949	12.9898059362458	-3.49490296812292	3	20.9898059362458
ENSG00000173557	-23.1909398740599	14.59546993703	3	-15.1909398740599
ENSG00000185798	33.5956732097496	-13.7978366048748	3	41.5956732097496
ENSG00000121104	36.0461931617842	-15.0230965808921	3	44.0461931617842
ENSG00000121101	28.9597615783396	-11.4798807891698	3	36.9597615783396
ENSG00000196700	34.8868946267816	-14.4434473133908	3	42.8868946267816
ENSG00000154328	50.7235630924812	-22.3617815462406	3	58.7235630924812
ENSG00000154639	52.0375112750403	-23.0187556375201	3	60.0375112750403
ENSG00000197070	44.4027392601078	-19.2013696300539	3	52.4027392601078
ENSG00000231213	12.7437069711634	-3.37185348558171	3	20.7437069711634
ENSG00000175305	26.2662936358861	-10.1331468179431	3	34.2662936358861
ENSG00000130734	26.8040751679756	-10.4020375839878	3	34.8040751679756
ENSG00000120278	38.2247298790528	-16.1123649395264	3	46.2247298790528
ENSG00000120279	52.0214061220155	-23.0107030610077	3	60.0214061220155
ENSG00000173673	-0.115874389674484	3.05793719483724	3	7.88412561032552
ENSG00000130045	11.0672384351381	-2.53361921756907	3	19.0672384351381
ENSG00000126822	44.4809880530095	-19.2404940265047	3	52.4809880530095
ENSG00000126821	46.3854154598219	-20.192707729911	3	54.3854154598219
ENSG00000127074	27.0652009180069	-10.5326004590035	3	35.0652009180069
ENSG00000145936	48.3416787411391	-21.1708393705696	3	56.3416787411391
ENSG00000185246	53.8357207547204	-23.9178603773602	3	61.8357207547204
ENSG00000145423	45.9748258046424	-19.9874129023212	3	53.9748258046424
ENSG00000090520	53.8244145442164	-23.9122072721082	3	61.8244145442164
ENSG00000186994	37.9691170813074	-15.9845585406537	3	45.9691170813074
ENSG00000203805	26.5801379736229	-10.2900689868114	3	34.5801379736229
ENSG00000089692	0.676569097223181	2.66171545138841	3	8.67656909722318
ENSG00000089693	62.6283517275792	-28.3141758637896	3	70.6283517275792
ENSG00000110917	54.3211636301176	-24.1605818150588	3	62.3211636301176
ENSG00000072121	40.2189917390412	-17.1094958695206	3	48.2189917390412
ENSG00000196932	15.0405157608016	-4.52025788040078	3	23.0405157608016
ENSG00000197614	84.6656777217655	-39.3328388608828	3	92.6656777217655
ENSG00000079112	23.5352952009424	-8.7676476004712	3	31.5352952009424
ENSG00000121594	56.6838660992065	-25.3419330496033	3	64.6838660992065
ENSG00000180964	90.4269232394192	-42.2134616197096	3	98.4269232394192
ENSG00000185305	49.5615997910635	-21.7807998955317	3	57.5615997910635
