genename	AIC	lnL	k	AICC
ENSG00000087269	42.1843205550452	-18.0921602775226	3	50.1843205550452
ENSG00000113761	28.3660756234671	-11.1830378117335	3	36.3660756234671
ENSG00000169379	44.6932448769202	-19.3466224384601	3	52.6932448769202
ENSG00000140992	49.6884043357618	-21.8442021678809	3	57.6884043357618
ENSG00000064115	46.7631775110571	-20.3815887555285	3	54.7631775110571
ENSG00000169372	51.5883441409933	-22.7941720704966	3	59.5883441409933
ENSG00000185379	29.9172637630417	-11.9586318815209	3	37.9172637630417
ENSG00000140995	53.5728269808318	-23.7864134904159	3	61.5728269808318
ENSG00000169371	39.9466570280627	-16.9733285140313	3	47.9466570280627
ENSG00000160207	46.4697036139466	-20.2348518069733	3	54.4697036139466
ENSG00000198948	56.7421121042293	-25.3710560521147	3	64.7421121042293
ENSG00000160208	31.1974363153785	-12.5987181576893	3	39.1974363153785
ENSG00000110497	30.2555821947951	-12.1277910973975	3	38.2555821947951
ENSG00000183918	33.7622016938008	-13.8811008469004	3	41.7622016938008
ENSG00000009830	32.7128223804389	-13.3564111902194	3	40.7128223804389
ENSG00000124496	20.1666654169429	-7.08333270847145	3	28.1666654169429
ENSG00000124490	-12.613074480886	9.306537240443	3	-4.61307448088599
ENSG00000111726	59.894372364756	-26.947186182378	3	67.894372364756
ENSG00000111725	37.296554395404	-15.648277197702	3	45.296554395404
ENSG00000075336	52.3831446817101	-23.1915723408551	3	60.3831446817101
ENSG00000103485	24.6603874319419	-9.33019371597097	3	32.6603874319419
ENSG00000016391	32.8657035861836	-13.4328517930918	3	40.8657035861836
ENSG00000107902	39.4320550390094	-16.7160275195047	3	47.4320550390094
ENSG00000123728	34.858925277381	-14.4294626386905	3	42.858925277381
ENSG00000169155	35.8838066446919	-14.9419033223459	3	43.8838066446919
ENSG00000213337	51.9533750019804	-22.9766875009902	3	59.9533750019804
ENSG00000106052	74.6965859535008	-34.3482929767504	3	82.6965859535008
ENSG00000156219	59.4579546276952	-26.7289773138476	3	67.4579546276952
ENSG00000213339	35.020377533345	-14.5101887666725	3	43.020377533345
ENSG00000109674	-0.997332335478061	3.49866616773903	3	7.00266766452194
ENSG00000105556	25.9290015073807	-9.96450075369036	3	33.9290015073807
ENSG00000105550	-3.90429968893851	4.95214984446926	3	4.09570031106149
ENSG00000109670	53.2121410185496	-23.6060705092748	3	61.2121410185496
ENSG00000105880	8.64418044757039	-1.3220902237852	3	16.6441804475704
ENSG00000169957	28.5927351301758	-11.2963675650879	3	36.5927351301758
ENSG00000109851	0.75055174738139	2.6247241263093	3	8.75055174738139
ENSG00000092969	47.8786404472265	-20.9393202236132	3	55.8786404472265
ENSG00000109854	65.7980857059089	-29.8990428529544	3	73.7980857059089
ENSG00000150907	62.0499369211932	-28.0249684605966	3	70.0499369211932
ENSG00000118564	65.2741484156079	-29.6370742078039	3	73.2741484156079
ENSG00000110237	34.5446365729896	-14.2723182864948	3	42.5446365729896
ENSG00000102287	50.9719980151108	-22.4859990075554	3	58.9719980151108
ENSG00000138867	70.4428943472153	-32.2214471736076	3	78.4428943472153
ENSG00000167005	73.223457037898	-33.611728518949	3	81.223457037898
ENSG00000143751	35.7510893087577	-14.8755446543788	3	43.7510893087577
ENSG00000134153	62.5278172157415	-28.2639086078708	3	70.5278172157415
ENSG00000105771	23.3760579475963	-8.68802897379813	3	31.3760579475963
ENSG00000241258	61.845615243912	-27.922807621956	3	69.845615243912
ENSG00000105778	37.4838561546012	-15.7419280773006	3	45.4838561546012
ENSG00000166200	64.3036124286394	-29.1518062143197	3	72.3036124286394
ENSG00000157107	46.960201079806	-20.480100539903	3	54.960201079806
ENSG00000163785	61.3902089042675	-27.6951044521338	3	69.3902089042676
ENSG00000163781	70.513594048234	-32.256797024117	3	78.513594048234
ENSG00000084693	27.165693059797	-10.5828465298985	3	35.165693059797
ENSG00000167264	37.9796000878433	-15.9898000439216	3	45.9796000878433
ENSG00000188133	8.00264435293284	-1.00132217646642	3	16.0026443529328
ENSG00000108106	53.934365315752	-23.967182657876	3	61.934365315752
ENSG00000186866	54.3671135255446	-24.1835567627723	3	62.3671135255446
ENSG00000108100	59.2405165096065	-26.6202582548033	3	67.2405165096065
ENSG00000186862	1.51981406546266	2.24009296726867	3	9.51981406546266
ENSG00000186868	21.0244418263588	-7.51222091317939	3	29.0244418263588
ENSG00000204033	-50.6825191054824	28.3412595527412	3	-42.6825191054824
ENSG00000015153	44.277944221158	-19.138972110579	3	52.277944221158
