genename	logL1	k1	BMrate_background	BMrate_specificspecies	logL.multiple	k2	P.chisq
ENSG00000167693	-19.2492580576558	2	0.0855169202443776	0.834475725550688	-18.0777984322084	3	0.125853507897791
ENSG00000064703	-16.8645650419062	2	0.0814993123568162	0.0690455299359421	-16.862124579598	3	0.944302213841518
ENSG00000110514	-16.510383747398	2	0.0806420257692425	0.00722179884784512	-16.3596070985274	3	0.582910277342751
ENSG00000168032	-7.78749059773326	2	0.00599762029472269	0.00692002394778074	-7.78480531166144	3	0.941579974377254
ENSG00000167740	-19.8239686471326	2	0.183669623436293	0.21520185552155	-19.8213517337744	3	0.942327201367251
ENSG00000168038	-12.5646642123944	2	0.0235377758846313	0.023085596961864	-12.5646273060339	3	0.993145112584638
ENSG00000167749	-3.52698093846312	2	0.00217800317255397	1.77547549675629e-07	-3.13539654298055	3	0.376173759559159
ENSG00000112149	-24.5525516480728	2	0.795843566513947	0.116336553173292	-24.4271474591032	3	0.61650644804837
ENSG00000084676	-18.6174236403291	2	0.133102222580613	1.3237295339863e-05	-18.0135507428739	3	0.271779021389099
ENSG00000087495	-1.67987404451284	2	0.0011822152202581	0.00104741313281442	-1.67379661531776	3	0.912211843764934
ENSG00000169740	-22.5312337761271	2	0.365668887218527	0.760285713515378	-22.4589305828418	3	0.703743915481702
ENSG00000261609	-15.301067452439	2	0.0435827076226473	0.121860222118356	-15.1399904778704	3	0.570316066736175
ENSG00000197150	-12.9433230412355	2	0.0257365112824686	0.0302037682929004	-12.9406204942765	3	0.941392851573085
ENSG00000168297	-19.7881061378502	2	0.194651623766285	0.10168657065856	-19.7590071856066	3	0.80936723632352
ENSG00000120907	-16.70871928515	2	0.00716710379597501	0.729109385930104	-10.5146925912357	3	0.000432089477469783
ENSG00000105879	-21.4889063743063	2	0.102669861577571	2.14018834540614	-19.0864338228618	3	0.0283781708610903
ENSG00000105875	-10.2777521795352	2	0.0123398402304525	1.22173864455879e-06	-9.67748699017789	3	0.27321569844761
ENSG00000057294	-13.5635405141384	2	0.0313134341173884	3.1238669134688e-06	-12.946558015933	3	0.266637324184212
ENSG00000146083	-14.4641729033585	2	0.0455167715638137	4.04060798465367e-06	-14.2570258811012	3	0.519798025036407
ENSG00000136250	-13.6345618702137	2	0.0347023447705679	0.00855698246380195	-13.5450598400005	3	0.672230535903307
ENSG00000149792	-30.1820600546572	2	3.21153114070098	7.15676453645413	-30.0928565980828	3	0.672745903781979
ENSG00000149021	-21.8276213019107	2	0.331518359252336	3.31233218186511e-05	-21.2076337435215	3	0.265475849480802
ENSG00000146085	-27.2449154181958	2	1.69432276811245	0.000155716326567967	-26.9174755284905	3	0.418373414867345
ENSG00000132591	-14.4407861203835	2	0.0453698240847034	4.01369888689182e-06	-14.2464003652701	3	0.532945855875794
ENSG00000102471	-29.0506189721939	2	2.70455679545189	0.000260851476582199	-28.5542261228972	3	0.319062477232477
ENSG00000165997	-20.7388649657646	2	0.242925643079013	2.42681396817046e-05	-20.1193732528195	3	0.265667062417209
ENSG00000177707	-17.8959808674327	2	0.110908103826111	0.0799630837194091	-17.8872248643628	3	0.894720956722638
ENSG00000180644	-9.88595063779719	2	0.0114390083584632	1.09235035642182e-06	-9.41554407063658	3	0.332068812023008
ENSG00000203872	-14.2450578793085	2	0.008116719939978	0.314487698440914	-10.484364079266	3	0.00609706964311117
ENSG00000147689	-6.04145815315723	2	0.00405981647338222	0.00130841637593654	-5.95592088118241	3	0.67915858690111
ENSG00000147687	-22.7464812324031	2	0.445551806731022	4.30675156074758e-05	-22.242391542428	3	0.315339398618339
ENSG00000147684	-42.3512172603768	2	116.658932426139	0.0116623633573242	-41.7293016425676	3	0.264733956836947
ENSG00000188342	-25.065980517484	2	0.631644779382811	2.70514486174651	-24.6896280388236	3	0.385621174295176
ENSG00000188343	-31.2012814994222	2	5.1362255900648	0.00048223242002496	-30.7990822710459	3	0.369781548348396
ENSG00000114529	-5.00042740541146	2	0.00313390701675824	2.70486763431343e-07	-4.69145671280053	3	0.431813310287537
ENSG00000142676	-52.6560412102489	2	2215.39801240023	2215.39801694614	-52.6560412102386	3	0.999996373126866
ENSG00000135617	-23.0253995944003	2	0.47935767059505	4.66400664787473e-05	-22.4983505592683	3	0.304565148778216
ENSG00000166839	-8.94800585553632	2	0.00919882877253998	8.3556046943066e-07	-8.63940511954995	3	0.432089141475731
ENSG00000145198	-2.72007321371472	2	0.000704987150503266	0.0383693212252929	-1.60721919760598	3	0.135730422280435
ENSG00000145191	-20.2934181951697	2	0.214270630613144	2.13679867690775e-05	-19.6800500495701	3	0.268042691895623
ENSG00000156973	-23.4969438741449	2	0.537288067833977	5.33666979790557e-05	-22.8976231200272	3	0.273593366161774
ENSG00000184708	-12.1321676592532	2	0.0213809631491714	0.0155160628890182	-12.1236523482684	3	0.896169726668429
ENSG00000169814	-23.2498573097896	2	0.322501975523321	2.1087162120671	-22.5333712006139	3	0.231279982746216
ENSG00000163463	-34.1941607277155	2	8.45783267189264	37.7884917378928	-33.7898312876388	3	0.368517050449731
ENSG00000214113	-31.0731093953763	2	3.76113280441388	12.7581448483351	-30.828772106568	3	0.484519141440625
ENSG00000163466	-35.5304262640754	2	14.347586684113	37.1882628383993	-35.3964284022819	3	0.604679437543806
ENSG00000240021	-9.29304848152433	2	0.0101067162290466	9.22130107483837e-07	-8.97375955305448	3	0.424226245380104
